247,刘连庆,男,博士,研究员,微纳操控与类生命机器人,中国科学院沈阳自动化研究所
248,董海荣,女,博士,教授,复杂条件下列车运行智能控制与优化,北京交通大学
249,孙健,男,博士,教授,网络化火控系统分析与控制,北京理工大学
250,冷雨欣,男,博士,研究员,超强超短激光技术,中国科学院上海光学精密机械研究所
251,张龙,男,博士,研究员,红外光学材料,中国科学院上海光学精密机械研究所
252,林晓,男,博士,教授,二维原子晶体异质结构的外延生长及电学特性研究,中国科学院大学
253,周文慧,男,博士,教授,排队经济学与服务运营管理,华南理工大学
254,周欣悦,女,博士,教授,消费者情绪与行为决策,浙江大学
255,刘承芳,女,博士,副教授,农村教育管理与政策,北京大学
256,虞吉海,男,博士,教授,空间计量经济学,北京大学
257,龙建成,男,博士,教授,城市动态交通出行优化,合肥工业大学
258,吴力波,女,博士,教授,能源环境经济与政策分析,复旦大学
259,张影,男,博士,教授,消费者行为,北京大学
260,张新雨,男,博士,副研究员,计量经济理论与应用研究,中国科学院数学与系统科学研究院
261,方正,男,博士,教授,基于人工智能的市场营销,四川大学
262,廖华,男,博士,教授,能源经济与气候政策研究,北京理工大学
263,张健,男,博士,研究员,药物设计与先导化合物发现,上海交通大学
264,周宏伟,男,博士,教授,人体微生物组诊断方法学,南方医科大学
265,鲁伯埙,男,博士,研究员,神经变性病,复旦大学
266,黄永焯,男,博士,研究员,分子药剂学,中国科学院上海药物研究所
267,丁楅森,男,博士,教授,器官修复中血管重构,四川大学
268,李蓉,女,博士,教授,生殖内分泌紊乱调控子宫内膜容受性,北京大学
269,薛天,男,博士,教授,视觉神经系统的生物医学研究,中国科学技术大学
270,吕继成,男,博士,教授,IgA肾病发病机制及治疗研究,北京大学
271,朱永群,男,博士,教授,病原菌致病机制研究,浙江大学
272,陈良怡,男,博士,研究员,生物医学光学成像,北京大学
273,陈兰芬,女,博士,教授,Hippo信号通路调控免疫稳态与疾病,厦门大学
274,王金勇,男,博士,研究员,血液细胞再生与抗白血病研究,中国科学院广州生物医药与健康研究院
275,李斌,男,博士,教授,骨科生物材料与再生医学,苏州大学
276,李于,男,博士,研究员,肝脏营养感应与代谢调控,中国科学院上海生命科学研究院
277,艾玎,女,博士,教授,代谢性心血管疾病,天津医科大学
278,刘刚,男,博士,教授,分子影像探针,厦门大学
279,李卫,男,博士,研究员,男性不育致病机理,中国科学院动物研究所
280,缪小平,男,博士,教授,肿瘤分子流行病学,华中科技大学
281,郑宏庭,男,博士,主任医师,糖尿病并发症/合并症发病机理及干预策略,中国人民解放军第三军医大学
282,赵强,男,博士,教授,心血管生物材料,南开大学
283,徐金富,男,博士,教授,支气管扩张症与感染,同济大学
284,李磊,男,博士,主任医师,肿瘤治疗抵抗（泌尿系统肿瘤）,西安交通大学
285,高庆蕾,女,博士,教授,卵巢癌诊治新策略研究,华中科技大学
286,刘再毅,男,博士,主任医师,结直肠癌影像组学,广东省人民医院
287,孙逊,女,博士,教授,生物大分子药物递释系统,四川大学
288,高大明,男,博士,研究员,肿瘤细胞信号转导,中国科学院上海生命科学研究院
289,王强,男,博士,教授,母源环境与生殖健康,南京医科大学
290,戈惠明,男,博士,教授,天然药物化学,南京大学
291,张杰,男,博士,教授,阿尔茨海默病的致病机制研究,厦门大学
292,李涛,男,博士,研究员,天然免疫,中国人民解放军军事科学院军事医学研究院
293,唐亚梅,女,博士,教授,放射医学（放射性神经损伤的机制和治疗）,中山大学
294,明东,男,博士,教授,神经工程,天津大学
295,秦成峰,男,博士,研究员,虫媒黄病毒感染与致病机制研究,中国人民解放军军事科学院军事医学研究院
296,周洁,女,博士,教授,粘膜免疫与疾病,天津医科大学
297,林灼锋,男,博士,研究员,脂肪细胞因子与心血管疾病,温州医科大学
298,高昊,男,博士,教授,中药药效物质,暨南大学
299,朱波,男,博士,教授,肿瘤免疫调控的细胞与分子机制,中国人民解放军第三军医大学
300,张晨,男,博士,教授,神经生物学,首都医科大学
